Ranking,RankText,TeamId,TeamName,CountryCode,PlayerId,CurrentHandle,ShowLastNameFirst,PrizeUSD,TournamentId
1,1st,24782,Team BDS,fr,26262,AureL,0,105.85,58674
2,2nd,0,,fr,90623,Heav,0,63.51,58674
3,3rd,0,,fr,53588,link,0,31.75,58674
4,4th,0,,fr,119233,Holo,0,10.58,58674
1,WIN,25144,Killing Generation of Brazil,br,14714,F1re,0,217.13,58646
2,LOSE,168,mYinsanity,fr,86236,Margougou,0,54.28,58646
1,1st,0,,ru,76511,Duhless,0,1000.00,58641
2,2nd,0,,in,76371,champ2005,0,750.00,58641
3,3rd,0,,ru,75895,Fandorine,0,350.00,58641
4,4th,0,,ru,75848,lachesisQ,0,200.00,58641
5,5th,0,,pl,75840,Polish_fighter3000,0,100.00,58641
6,See Note,0,,,9302,##UNKNOWN##,0,100.00,58641
1,1st,0,,ru,75887,FairChess,0,1000.00,58642
2,2nd,0,,ru,76181,drop_stone,0,750.00,58642
3,3rd,0,,us,76134,DanielNaroditsky,0,350.00,58642
4,4th,0,,ro,86108,BogdanDeac,0,200.00,58642
5,5th,0,,us,76123,Konavets,0,100.00,58642
6,See Note,0,,,9303,##UNKNOWN##,0,100.00,58642
1,1st,0,,us,97714,minikieff,0,20.00,58531
1,1st,0,,nl,3640,Baksteen,0,50.00,58514
2,2nd,0,,ru,3035,ash,0,25.00,58514
3,3rd,0,,ru,1844,pavel,0,15.00,58514
1,1st,0,,fr,4574,MarineLorD,0,400.00,58583
2,2nd,0,,gb,51162,RecoN,0,300.00,58583
3,3rd,0,,es,1276,LucifroN,0,200.00,58583
4,4th,0,,ca,102266,1puppypaw,0,100.00,58583
1,1st,0,,ru,76511,Duhless,0,500.00,58643
2,2nd,0,,no,75863,DrNykterstein,0,250.00,58643
3,3rd,0,,us,76372,HansCoolNiemann,0,125.00,58643
4,4th,0,,am,79505,OhanyanEminChess,0,75.00,58643
5,5th,0,,ir,76202,amintabatabaei,0,50.00,58643
1,1st,0,,kr,120885,Framework,0,2000.00,58499
2,2nd,0,,tw,120886,Yoro,0,1000.00,58499
3,3rd,0,,kr,120887,Zeus,0,600.00,58499
4,4th,0,,tw,39885,ZJZ,1,400.00,58499
5,5th-6th,0,,au,120889,Cibo,0,300.00,58499
5,5th-6th,0,,th,120888,Owny,0,300.00,58499
7,7th-8th,0,,au,120890,Justicar,0,200.00,58499
7,7th-8th,0,,sg,66453,Seo,0,200.00,58499
1,WIN,0,,cl,99325,ULysses,0,60.00,58498
1,1st,0,,ru,64367,repard,0,574.21,58494
2,2nd,24972,SalzZ,ua,64365,classicpro,0,249.66,58494
3,3rd,24972,SalzZ,ru,42069,Vinchester,0,174.76,58494
4,4th,25310,3D!Clan,ru,84883,Dark,0,99.86,58494
5,5th-8th,0,,ru,84884,Dench,0,37.45,58494
5,5th-8th,0,,ru,94491,IAnTaGoNiStI,0,37.45,58494
5,5th-8th,0,,ru,103759,Nixishin,0,37.45,58494
5,5th-8th,0,,by,65191,OLADUSHEK,0,37.45,58494
1,1st,0,,ru,94491,IAnTaGoNiStI,0,62.41,58493
2,2nd,0,,by,65191,OLADUSHEK,0,31.21,58493
3,3rd,24972,SalzZ,ru,68512,WaRRioR,0,18.72,58493
4,4th,0,,ru,100508,wide.,0,12.48,58493
1,1st,0,,ru,64367,repard,0,62.41,58492
2,2nd,24972,SalzZ,ru,42069,Vinchester,0,31.21,58492
