TeamId,TeamName,TotalUSDPrize,TotalTournaments,GameId
24781.0,Rex Regum Qeon,1012681.86,25.0,531
25354.0,ONIC Esports,861862.00,26.0,531
24780.0,EVOS Esports,828727.83,35.0,531
25445.0,Blacklist International,621211.71,13.0,531
25344.0,Resurgence,473211.61,26.0,531
25034.0,Bren Esports,301287.00,13.0,531
25359.0,Todak,249200.00,16.0,531
25093.0,Alter Ego,223178.43,14.0,531
24743.0,Bigetron eSports,205250.42,20.0,531
24746.0,Geek Fam,180177.00,22.0,531
918.0,Execration,137600.00,8.0,531
25287.0,AURA Esports,127625.00,14.0,531
24723.0,Aerowolf,95470.41,11.0,531
25090.0,Team SMG,78754.90,10.0,531
24948.0,Team Flash,63062.66,11.0,531
24875.0,ArkAngel,61933.00,4.0,531
286.0,Orange Esports,60450.00,9.0,531
25455.0,Impunity,57746.34,13.0,531
703.0,Indonesian National Team,50000.00,1.0,531
25186.0,Team nxl,41444.00,1.0,531
268.0,Keyd Stars,39500.00,2.0,531
601.0,Philippines National Team,33500.00,2.0,531
163.0,Natus Vincere,30000.00,1.0,531
561.0,TnC Gaming,29060.00,3.0,531
592.0,Argentinian National Team,24000.00,1.0,531
543.0,RED Canids,22000.00,2.0,531
25299.0,Cambodian National Team,20000.00,1.0,531
24779.0,Malvinas Gaming,20000.00,2.0,531
25447.0,MDH Esports,14000.00,2.0,531
25366.0,Yangon Galacticos,10370.00,3.0,531
25106.0,Imperial Esports,3550.00,2.0,531
24835.0,BOOM Esports,3400.00,1.0,531
25234.0,Playbook Esports,1800.00,1.0,531
695.0,Vietnamese National Team,1500.00,1.0,531
25143.0,Burmese National Team,500.00,1.0,531
655.0,Black Dragons e-Sports,300.00,1.0,531
951.0,Team GamerLegion,314349.90,151.0,179
956.0,Aftermath,269831.53,149.0,179
211.0,Team Secret,128309.18,100.0,179
337.0,Tempo Storm,87020.00,37.0,179
25122.0,White Wolf Palace,85949.46,89.0,179
24973.0,Suomi,59255.63,60.0,179
25131.0,Vietnam Legends,41007.77,82.0,179
24972.0,SalzZ,39094.17,92.0,179
168.0,mYinsanity,27153.18,53.0,179
25128.0,Heresy,25712.33,52.0,179
25130.0,Rulers of Rome,11753.71,41.0,179
25240.0,Imperiales Team,8602.50,12.0,179
25127.0,Infinity Legends,6459.82,14.0,179
25423.0,Combi Team,6098.40,15.0,179
583.0,Korean National Team,6000.00,1.0,179
25129.0,QuEnDi,5388.58,18.0,179
25137.0,DarkSidE,5135.78,40.0,179
25144.0,Killing Generation of Brazil,4383.93,24.0,179
25132.0,Clown Legion,3171.39,26.0,179
696.0,Japanese National Team,3000.00,1.0,179
643.0,1907 Fenerbahçe Esports,2026.00,7.0,179
589.0,Canadian National Team,2000.00,1.0,179
25424.0,Fox,1725.85,11.0,179
25310.0,3D!Clan,1433.00,7.0,179
592.0,Argentinian National Team,600.00,1.0,179
636.0,Chilean National Team,300.00,1.0,179
25311.0,Kyo All Fallen,235.00,1.0,179
128.0,WeRRa,200.00,1.0,179
25274.0,Dark Empire,152.50,5.0,179
585.0,Mexican National Team,150.00,2.0,179
587.0,Polish National Team,99.00,1.0,179
596.0,Austrian National Team,70.00,1.0,179
833.0,Solary,45064.49,26.0,655
24877.0,MnM Gaming,32135.04,23.0,655
24960.0,GameWard,16532.64,27.0,655
25385.0,Into The Breach,14383.86,24.0,655
25125.0,Edelweiss Esports,13680.62,21.0,655
24962.0,Gaming Privé,7301.65,44.0,655
25126.0,Karmine Corp,5771.30,18.0,655
658.0,BIG,4632.66,7.0,655
719.0,GamersOrigin,3642.23,10.0,655
571.0,Lazarus,3194.07,6.0,655
24919.0,Exalty,2994.76,15.0,655
946.0,McLaren Shadow,2778.77,4.0,655
261.0,Alliance,2417.16,6.0,655
24927.0,BS COMPETITION,1566.97,5.0,655
24984.0,Grizi Esport,856.68,10.0,655
25338.0,Gamers First,263.65,1.0,655
24682.0,Veloce Esports,235.20,1.0,655
24897.0,Centaury Event,227.86,4.0,655
848.0,Spacestation Gaming,30.06,1.0,655
196.0,Team SoloMid,939574.76,95.0,566
24707.0,DarkZero Esports,516752.00,13.0,566
425.0,NRG Esports,494590.24,55.0,566
25275.0,Reignite,400384.90,34.0,566
963.0,FURIA Esports,339550.00,17.0,566
24872.0,SCARZ,337200.89,22.0,566
102.0,Team Liquid,299429.11,61.0,566
25242.0,FENNEL,297124.74,20.0,566
24687.0,Sentinels,287534.00,36.0,566
24690.0,Kungarna,273821.00,7.0,566
261.0,Alliance,262797.00,43.0,566
787.0,100 Thieves,245548.80,16.0,566
25189.0,WOLFPACK,224117.00,30.0,566
848.0,Spacestation Gaming,223277.17,33.0,566
212.0,Cloud9,222610.02,15.0,566
118.0,Fnatic,212885.89,11.0,566
24881.0,Crazy Raccoon,198582.00,24.0,566
25330.0,PULVEREX,181000.00,6.0,566
557.0,Rogue,177787.00,29.0,566
145.0,T1,175214.58,35.0,566
25147.0,GMT Esports,160351.26,7.0,566
231.0,OpTic Gaming,156100.00,8.0,566
163.0,Natus Vincere,156019.00,19.0,566
104.0,compLexity Gaming,154555.00,42.0,566
192.0,Gambit Esports,147514.68,27.0,566
317.0,Luminosity Gaming,140260.00,32.0,566
24967.0,EXO Clan,138767.57,49.0,566
24904.0,Riddle,137609.69,5.0,566
708.0,Team Singularity,135057.00,17.0,566
207.0,Counter Logic Gaming,134814.00,27.0,566
24791.0,Paradox Esports,122483.00,8.0,566
25302.0,Esports Arena,116606.69,21.0,566
256.0,G2 Esports,113991.67,21.0,566
25021.0,REJECT,86883.29,21.0,566
24906.0,K1CK,78339.75,19.0,566
24812.0,Made in Thailand,76375.21,41.0,566
124.0,Invictus Gaming,76373.49,13.0,566
657.0,North,60740.00,8.0,566
338.0,Renegades,60537.00,13.0,566
115.0,Team Empire,60000.00,2.0,566
719.0,GamersOrigin,59796.31,5.0,566
25166.0,Torrent,52088.78,13.0,566
25152.0,Acend,48500.00,6.0,566
24893.0,Third Impact,42584.00,15.0,566
938.0,GameWith,38500.00,3.0,566
24993.0,XSET,36550.00,10.0,566
25333.0,The Guard,33300.00,10.0,566
934.0,Team Reciprocity,31590.00,4.0,566
234.0,Elevate,29250.00,5.0,566
643.0,1907 Fenerbahçe Esports,27910.00,14.0,566
833.0,Solary,27550.00,2.0,566
25243.0,Northeption,25964.69,8.0,566
25173.0,Reply Totem Esports,24269.00,10.0,566
24913.0,Vexed Gaming,21800.00,5.0,566
25089.0,Dire Wolves,21029.00,8.0,566
24790.0,ZETA DIVISION,21000.00,2.0,566
25456.0,ODDIK,20750.00,4.0,566
24818.0,DeToNator,20320.00,8.0,566
25216.0,ENTER FORCE.36,20083.90,4.0,566
25020.0,BlackBird Ignis,19300.00,6.0,566
25088.0,Guild Esports,19300.00,3.0,566
24968.0,Wygers,19260.00,3.0,566
24978.0,Kansas City Pioneers,18500.00,3.0,566
205.0,PENTA Sports,18000.00,1.0,566
24717.0,ATK,17670.00,8.0,566
529.0,Misfits,16800.00,2.0,566
185.0,Virtus.pro,16640.00,4.0,566
571.0,Lazarus,16350.00,10.0,566
24944.0,303 Esports,15607.38,10.0,566
132.0,MVP,15000.00,1.0,566
337.0,Tempo Storm,15000.00,1.0,566
24826.0,Sunsister,14532.31,9.0,566
362.0,DetonatioN,12605.96,3.0,566
825.0,Pittsburgh Knights,12000.00,6.0,566
24934.0,Charlotte Phoenix,11859.00,4.0,566
25260.0,Moist Esports,11713.10,9.0,566
25377.0,Rebel,11650.00,3.0,566
24841.0,Buriram United Esports,11610.00,4.0,566
24796.0,Triumph,10875.00,6.0,566
24849.0,Royal Youth,10800.00,1.0,566
24777.0,NASR eSports,10160.00,4.0,566
24684.0,Cooler Esport,9570.00,8.0,566
24785.0,Infinity Esports,9000.00,1.0,566
25153.0,Lag Gaming,8745.00,7.0,566
24933.0,ad hoc gaming,8735.00,10.0,566
536.0,Obey Alliance,8419.00,4.0,566
663.0,eUnited,8400.00,1.0,566
735.0,Myztro Gaming,7548.59,3.0,566
25290.0,eRa Eternity,7000.00,2.0,566
664.0,FlyQuest,6900.00,2.0,566
25022.0,Sengoku Gaming,6811.00,5.0,566
544.0,INTZ eSports,6600.00,1.0,566
24848.0,İstanbul Wildcats,6600.00,1.0,566
25171.0,SoaR,6600.00,1.0,566
24891.0,Unsold Stuff Gaming,6480.00,3.0,566
24830.0,CrowCrowd,6000.00,1.0,566
24813.0,Armory Gaming,5930.00,4.0,566
941.0,FAV gaming,5800.00,3.0,566
501.0,GODSENT,5760.00,4.0,566
293.0,Noble eSports,5450.00,3.0,566
830.0,Ghost Gaming,5000.00,3.0,566
240.0,FaZe Clan,4800.00,3.0,566
25343.0,Method2Madness,4550.00,3.0,566
24942.0,Oxygen Esports,4300.00,3.0,566
25159.0,BearClaw Gaming,3948.42,4.0,566
24892.0,Trident Esports,3498.99,1.0,566
24960.0,GameWard,3000.00,1.0,566
25186.0,Team nxl,3000.00,1.0,566
829.0,Winstrike Team,3000.00,1.0,566
24843.0,FUT Esports,2750.00,2.0,566
24865.0,Xavier Esports,2730.00,2.0,566
25255.0,DNMK Esports,2490.00,3.0,566
