Ranking,RankText,TeamId,TeamName,TournamentTeamId,TournamentTeamName,PrizeUSD,UnknownPlayerCount,TournamentId
1,1st,0,,127509,ECHO,300000.00,0,58667
2,2nd,0,,127508,Blacklist International,120000.00,0,58667
3,3rd,0,,127507,RRQ Hoshi,80000.00,0,58667
4,4th,0,,127506,ONIC Esports,55000.00,0,58667
5,5th-6th,0,,127504,Falcon Esports,40000.00,0,58667
5,5th-6th,0,,127505,The Valley,40000.00,0,58667
7,7th-8th,0,,127502,Incendio Supremacy,30000.00,0,58667
7,7th-8th,0,,127503,RRQ Akira,30000.00,0,58667
9,9th-12th,0,,127501,Occupy Thrones,15000.00,0,58667
9,9th-12th,0,,127498,S11 Gaming Argentina,15000.00,0,58667
9,9th-12th,0,,127499,Team HAQ,15000.00,0,58667
9,9th-12th,0,,127500,Todak,15000.00,0,58667
13,13th-16th,0,,127496,Burn x Team Flash,10000.00,0,58667
13,13th-16th,0,,127497,Malvinas Gaming,10000.00,0,58667
13,13th-16th,0,,127495,MDH Esports,10000.00,0,58667
13,13th-16th,0,,127494,RSG Singapore,10000.00,0,58667
14,WIN,0,,127510,Final MVP,10000.00,0,58667
1,WIN,0,,127530,Hera & TheViper,350.00,0,58673
2,LOSE,0,,127531,Vivi & Yo,150.00,0,58673
1,1st,0,,127492,Homyno Tsun,100.00,0,58666
2,2nd,0,,127493,EVOS Esports,50.00,0,58666
1,1st,0,,127399,TSM,2300.00,0,58633
2,2nd,0,,127400,Luminosity Gaming,1500.00,0,58633
3,3rd,0,,127401,Esports Arena,900.00,0,58633
4,4th,0,,127402,DarkZero Esports,300.00,0,58633
1,1st,0,,127397,Luminosity Gaming,350.00,0,58632
2,2nd,0,,127398,Sentinels,150.00,0,58632
1,WIN,0,,127291,Team Apple,207.00,0,58618
2,LOSE,0,,127292,Team Banana,138.00,0,58618
1,1st,0,,127403,ADAL Wolves,61.94,0,58634
2,2nd,0,,127404,Murasaki,41.29,0,58634
1,1st,0,,126808,NewHappy,5798.80,0,58516
2,2nd,0,,126809,17 Gaming,3116.86,0,58516
3,3rd,0,,126810,STG,1522.19,0,58516
4,4th,0,,126811,Petrichor Road,724.85,1,58516
7,7th,0,,126812,Tianba,652.37,0,58516
9,9th,0,,126813,Association of China Game,217.46,0,58516
10,10th,0,,126814,DD Team,507.40,0,58516
12,12th,0,,126815,RainbowStyle,362.43,0,58516
15,15th,0,,126816,TyLoo,217.46,0,58516
20,See Note,0,,126817,Group Stage MVP,72.49,0,58516
21,See Note,0,,126818,Semi Final Phase 1 MVP,72.49,0,58516
