TournamentId,GameId,TournamentName,StartDate,EndDate,Location,Teamplay,TotalUSDPrize
58667,531,M4 World Championship,2023-01-01,2023-01-15,"Jakarta, Indonesia",1,805000.0
58674,655,Multistyle Cup #2,2023-01-14,2023-01-15,Online,0,211.69
58673,179,Hera & TheViper vs Vivi & Yo,2023-01-14,2023-01-14,Online,1,500.0
58666,655,Serotonin Monthly Cup: January 2023,2023-01-14,2023-01-14,Online,1,150.0
58646,179,F1Re vs Margougou Bo7 Showmatch,2023-01-13,2023-01-13,Online,0,271.41
58633,566,Oversight - Season 1 Split 2: Week #6,2023-01-13,2023-01-13,North America,1,5000.0
58632,566,Esports Arena: Series E Season 6 Pro Tournament #5,2023-01-11,2023-01-11,North America,1,500.0
58618,179,The Delicious Showmatch 6,2023-01-11,2023-01-11,Online,1,345.0
58634,566,Apac South Hub: Mixed Cash Cup - Week #2,2023-01-10,2023-01-10,Asia-Pacific,1,103.23
58641,547,"Titled Tuesday January 10, 2023 Early Tournament",2023-01-10,2023-01-10,Online,0,2500.0
58642,547,"Titled Tuesday January 10, 2023 Late Tournament",2023-01-10,2023-01-10,Online,0,2500.0
58516,504,BOSS Training Camp,2022-11-25,2023-01-08,China,1,14134.63
58531,393,eggwp NA Weekly Series #63,2023-01-08,2023-01-08,North America,0,20.0
58514,393,eggwp Weekly Series #92,2023-01-08,2023-01-08,Europe,0,90.0
58515,554,PUBG Mobile Global Championship 2022,2022-11-10,2023-01-08,"Kuala Lumpur, Jakarta",1,3852500.0
58583,746,The Nomadic Clash,2023-01-07,2023-01-08,Online,0,1000.0
58643,650,Blitz Titled Arena January '23,2023-01-07,2023-01-07,Online,0,1000.0
58499,732,GBVS Community League 2022 - Asia Finals,2023-01-07,2023-01-07,Asia,0,5000.0
58498,178,Iam_Momo vs ulyssesaot Bo7 Showmatch,2023-01-07,2023-01-07,Online,0,60.0
58494,179,Rusaoc Cup 100,2023-01-07,2023-01-07,Online,0,1248.29
58497,566,Apac South Hub: Mixed Cash Cup - Week #1,2023-01-06,2023-01-06,Asia-Pacific,1,205.98
58496,566,Oversight - Season 1 Split 2: Week #5,2023-01-06,2023-01-06,North America,1,5000.0
58493,179,Rusaoc Cup 100: Qualifier 3,2023-01-05,2023-01-05,Online,0,124.82
58425,566,Esports Arena: Series E Season 6 Pro Tournament #4,2023-01-04,2023-01-04,North America,1,2000.0
